Title,Date,Place,Submission deadline,"More info, application",Project,Status,Funded by,Leave date,Arrival date,Amount receivable,Claimed for Elvonal,Claimed for ERC,Event posted on website
DNDS seminar,3/6,Wien,3/6,,bugs,done,,,,,,,
KTI seminar,3/21,Budapest,3/21,,WMS,done,,,,,,,
,4/4,Bologna,4/4,,bugs,accepted,,,,,,,
9th Annual Conference on Network Science and Economics,4/19,Minneapolis,4/19,https://sites.google.com/umn.edu/nse2024/program?authuser=0,goos,accepted,,,,,,,
CAED,5/17,Penn State,3/1,https://econ.la.psu.edu/comparative-analysis-of-enterprise-data-caed/,babyboom,rejected,,,,,,,
,6/10,Budapest,,https://budapestml.hu/2024/en/,,,,,,,,,
Barcelona Summer Forum,6/13,Barcelona,2/28,https://bse.eu/summer-forum/workshop-digital-economy,bugs,Gábor?,,,,,,,
,6/19,Linz,6/19,,poaching,accepted,,,,,,,
GEN Workshop,6/20,Tübingen,2/29,paper submission: GlobalEconNetworks@gmail.com,bugs,Gábor?,,,,,,,
4th Tristan workshop,6/20,Bayreuth,6/20,,poaching,invited,,,,,,,
,6/26,Venice,2/29,https://www.cesifo.org/en/event/2024-06-26/venice-summer-institute-2024-globalization-and-innovation,bugs,Gábor?,,,,,,,
SED,6/27,Barcelona,6/27,,babyboom,rejected,,,,,,,
CEPR STEG meeting,6/28,"Syracusa, IT",3/20,https://docs.google.com/forms/d/1wq4ApBHaFcyq-wC7wGdliPxggoHoiGTTcGQuJFloMbQ/viewform?edit_requested=true,babyboom,did not apply,,,,,,,
Wien 2024,7/5,Vienna,4/2,WIEN_2024_Workshop_Call.pdf,goos,Aaron,,,,,,,
JuliaCon,7/9,Eindhoven,7/9,,Kezdi.jl,done,,,,,,,
EEA,8/26,Rotterdam,2/15,https://www.eeassoc.org/events/eea-esem-rotterdam-2024,,no,,,,,,,
ZEW,9/9,Mannheim,4/30,https://www.zew.de/fileadmin/FTP/veranstaltungen/CfP_Marketdesign_ModHub2024.pdf?v=1711625320,gooos+bugs,did not apply,,,,,,,
2024 AGM,9/19,London LSE,9/19,,data-editor,accepted,,,,,,,
18th North American Meeting of the Urban Economics Association,9/20,Washington,,,,conflicts,,,,,,,
SETS 2024,9/26,"Cagliari, IT",7/1,https://freit.org/SETC/2024/,goos,conflicts,,,,,,,
Alciante seminar,9/26,"Alicante, ES",9/24,,poaching,accepted,,,,,,,
NOITS 2024,10/10,Oslo,6/15,https://www.noits.org/noits-2024/,goos,Miklos?,,,,,,,
European Workshop: The Economics of AI and Automation,10/25,Milan,5/31,,bugs,,,,,,,,
Conference on Urban and Regional Economics,11/8,Philadelphia,8/22,,goos,Miklos?,,,,,,,
"Trade, value chains and financial linkages",11/14,Rome,9/26,https://www.bancaditalia.it/media/notizie/2024/Call_for_papers_BdI_ECB_WB_TradeGVCs.pdf,goos,plan,,,,,,,
Economics of Talent,11/15,"Cambridge, MA",9/11,Economics of Talent | NBER,whoiswho,rejected,,,,,,,
Naples trade and development workshop,11/18,Naples,8/31,https://cepr.org/events/naples-trade-and-development-workshop,goos,plan,,,,,,,
ARC 2024,11/21,"Ispra, IT",05/15,https://joint-research-centre.ec.europa.eu/events/annual-research-conference-2024-europe-changing-world-navigating-challenges-seeking-opportunities-2024-11-21_en,,did not apply,,,,,,,
International trade and investment program meeting,11/22,Stanford,9/20,https://www.nber.org/conferences/international-trade-and-investment-program-meeting-fall-2024,,,,,,,,,
Organizational economics working groups,12/5,"Cambridge, MA",9/19,https://www.nber.org/conferences/organizational-economics-working-group-fall-2024,goos,plan,,,,,,,
HEC Enterpreneurship Workshop,2024-12-12,Paris,2024-09-15,https://hecparisentrepreneurship.github.io/,babyboom,submitted,,,,,,,
WMS Emprical Mangement Conference,2024-12-12,Boston,,Empirical Management Conference – World Management Survey,,,,,,,,,
"Growth and development, macro, trade",2024-12-16,"Santiago de Chile, Chile",2024-09-13,https://ridge.benchurl.com/c/l?u=1166BA05&e=1877803&c=12EA7B&t=0&l=A12B264E&email=g8icd2mvXFmWutkquXTJ4A%3D%3D&seq=1,,,,,,,,,
Juliacon presentation,2024-12-31,,2024-12-31,https://proceedings.juliacon.org/,,,,,,,,,
DuckCon,2025-01-31,"Amsterdam, NL",2024-10-18,https://duckdb.org/2025/01/31/duckcon6,,,,,,,,,
Bp Winter Workshop,2025-02-26,Bp,2025-01-30,,FIRMS,plan,,,,,,,
